n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
41	111.8641	22.21812	62.9603	222.2409	76.2496	81.1172	86.3655	93.2899	98.1631	103.9327	108.8301	113.82	121.0454	129.0581	141.4567	153.4177	159.9437
42	114.5086	22.63527	63.9766	221.849	75.7562	81.9024	88.3346	95.1893	100.9059	107	112.2052	117.3499	124.0524	132.4613	143.2236	154.2109	163.4381
43	119.4876	24.87409	65.9924	230.4062	78.7845	84.841	90.7524	98.9899	104.561	110.3449	116.2153	122.1229	129.3754	138.4919	153.548	165.8674	172.0494
44	121.73	25.31701	68.2715	228.9585	80.5357	87.9943	93.1933	100.9455	106.6255	111.9285	118.0042	123.6447	131.2707	140.4244	155.3126	167.3559	179.0363
45	124.4256	26.4002	68.5493	241.5533	82.9638	88.955	94.5304	101.262	107.9861	114.429	121.536	127.9336	134.785	143.0979	160.05	174.8342	183.3248
46	130.3773	26.7323	71.9027	256.2499	88.9326	93.691	99.7547	106.7661	113.5429	120.0625	126.8582	133.7572	142.1373	150.7548	165.9397	178.9134	187.7232
47	134.1694	28.12386	73.7699	251.0976	89.3364	97.7548	102.8688	111	117.6138	123.3977	130.05	135.9117	144.4818	153.727	171.1023	186.3491	197.6689
48	136.1735	28.16227	74.6659	252.7568	92.9247	98.5546	104.2977	111.4899	118.2793	124.6114	132.3329	139.925	147.4415	157.5309	174.9486	186.0753	197.808
49	139.8325	27.28487	75.0933	274.3647	93.8296	102.191	108.0972	117.5755	124.3503	129.2672	136.158	142.7936	150.8277	160.5522	175.4366	188.3507	202.099
50	141.9052	29.86376	80.8826	320.5308	94.7629	100.8662	108.6922	116.5804	124.1894	129.9	137.0073	145.2962	153.5285	165.7227	180.5353	192.8989	202.4204
51	146.0383	30.83644	77.1168	305.2835	99.3932	106.3673	112.8184	120.6441	126.9567	134.2647	140.961	149.4423	156.9968	169.2542	185.1216	203.7597	214.3175
52	151.2538	32.05154	88.2496	304.754	101.2275	107.5546	114.1008	124.0443	132.714	139.8857	147.3839	155.2353	163.0828	173.8994	190.3838	210.7249	225.546
53	152.6469	33.04301	86.3829	314.269	101.9951	110.4672	116.9658	125.7855	132.0417	138.9748	146.2976	154.3308	164.4415	177.8679	197.6234	213.7031	231.7002
54	156.8495	32.57793	92.6499	304.0872	105.385	113.7981	118.836	129.0697	137.0584	145.585	153.3297	159.5431	168.6861	180.0389	198.4767	218.7533	234.8744
