n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
162	1397.953	381.645	642.6111	2879.448	781.0115	872.1393	964.8673	1071.001	1167.542	1257.002	1338.739	1428.675	1540.245	1692.82	1904.406	2125.791	2244.506
163	1412.451	374.3437	632.4105	2883.084	839.5808	889.492	973.0761	1094.959	1189.162	1269.248	1362.311	1467.937	1557.095	1691.356	1901.371	2105.337	2260.49
164	1401.646	369.3135	669.1898	2881.513	802.1172	883.2814	964.9839	1096.3	1186.643	1266.906	1348.397	1444.412	1544.167	1679.681	1903.578	2070.691	2184.849
165	1422.92	376.7305	592.9072	2860.124	823.7226	894.7754	981.9455	1093.663	1191.133	1288.853	1381.481	1469.64	1566.174	1703.826	1916.138	2138.594	2282.297
166	1434.292	389.0322	697.8481	3143.063	833.3703	899.3853	978.2576	1106.048	1197.623	1286.902	1369.888	1462.212	1590.307	1748.173	1956.134	2147.402	2294.62
167	1420.236	357.2676	652.509	2716.133	826.4472	910.1802	992.1235	1126.298	1206.872	1287.185	1389.995	1461.892	1563.021	1678.205	1891.37	2080.487	2215.485
168	1435.377	385.9755	584.8598	3001.487	817.9034	907.6706	989.7454	1115.491	1207.733	1281.43	1376.755	1469.228	1599.436	1742.246	1931.573	2142.336	2245.104
169	1480.004	393.6266	704.8127	3116.184	847.6249	932.6307	1022.497	1146.71	1233.851	1329.233	1426.203	1526.174	1653.633	1776.03	1991.486	2209.463	2370.338
170	1474.769	394.0941	681.956	3187.516	856.9632	943.7765	1037.937	1143.524	1230.621	1318.706	1404.976	1513.269	1619.792	1787.308	2012.659	2207.68	2324.341
171	1496.313	406.406	705.4233	3110.109	872.3686	932.9025	1017.74	1144.913	1242.49	1351.204	1441.678	1541.229	1659.381	1793.593	2041.83	2275.801	2374.411
172	1497.503	409.1472	684.8642	3382.064	827.9233	922.6018	1027.593	1158.039	1253.775	1356.249	1446.91	1534.921	1663.811	1789.268	2033.606	2288.601	2395.64
173	1532.086	407.7734	717.7785	3449.494	868.2615	959.2669	1065.81	1191.504	1290.128	1372.047	1469.695	1586.534	1702.764	1845.06	2080.705	2282.436	2448.131
174	1518.985	401.8199	655.0321	3608.237	883.2089	972.6484	1052.568	1167.077	1259.531	1366.48	1462.562	1555.088	1686.197	1867.07	2057.592	2240.328	2364.661
175	1564.948	418.0873	679.0508	3570.254	897.5467	977.6078	1064.512	1199.837	1317.61	1413.744	1512.242	1624.095	1738.229	1901.638	2135.833	2306.797	2463.109
176	1542.468	414.7017	748.3682	3616.691	891.5301	984.5212	1069.773	1204.307	1292.57	1373.412	1470.665	1588.222	1712.864	1855.438	2073.844	2315.639	2430.834
177	1586.715	428.537	659.881	3414.23	915.4097	1010.253	1095.911	1232.157	1338.796	1410.014	1530.791	1627.216	1741.672	1901.104	2135.288	2403.052	2597.33
178	1599.84	424.1788	680.8568	3354.092	906.3895	1002.354	1099.663	1240.146	1341.668	1453.988	1545.509	1643.801	1768.848	1946.601	2162.727	2383.568	2510.025
179	1611.215	443.6185	618.0599	3654.864	929.9258	1029.548	1110.617	1234.727	1337.86	1437.412	1537.391	1661.091	1784.775	1935.822	2171.873	2449.154	2666.245
180	1625.493	434.4728	778.0906	3884.735	928.7895	1024.05	1107.381	1242.328	1357.586	1470.821	1582.477	1688.253	1819.687	1981.481	2191.335	2434.942	2573.225
181	1666.538	428.3404	716.9163	3279.615	967.5216	1052.051	1149.091	1293.942	1397.486	1514.882	1611.254	1736.737	1862.446	2020.255	2233.042	2418.96	2570.41
182	1649.433	425.1695	726.9326	3441.467	939.8569	1036.843	1159.752	1298.184	1395.943	1488.132	1597.244	1703.459	1826.255	1979.209	2221.429	2459.161	2579.247
183	1685.134	465.9791	743.3425	3759.946	943.3541	1027.888	1149.827	1271.192	1397.634	1496.804	1610.934	1750.699	1902.134	2062.125	2302.7	2512.222	2639.584
184	1710.022	457.0526	692.7958	3248.266	972.1147	1079.428	1176.977	1307.006	1428.816	1535.45	1653.912	1773.557	1907.128	2072.155	2321.491	2599.209	2786.095
185	1696.961	431.5279	730.8988	3845.42	973.5266	1082.466	1160.021	1317.084	1454.358	1552.932	1646.897	1761.213	1884.216	2025.124	2252.689	2458.055	2589.705
186	1697.997	462.9623	808.0718	3699.064	967.5138	1057.759	1152.672	1290.193	1423.531	1535.114	1656.891	1754.57	1883.237	2055.046	2302.538	2554.706	2714.03
187	1721.236	476.7953	783.2841	3864.432	965.7992	1069.835	1176.723	1330.378	1426.727	1518.266	1629.804	1772.035	1932.811	2108.627	2347.643	2607.307	2723.065
188	1745.242	473.7287	730.8735	3802.656	984.381	1082.176	1203.654	1344.264	1474.042	1567.276	1683.162	1784.861	1921.751	2108.106	2393.854	2620.682	2850.866
189	1728.411	442.7396	709.4484	3275.974	1001.716	1115.199	1215.748	1354.93	1456.866	1560.399	1665.223	1788.742	1911.953	2084.417	2349.301	2587.107	2694.625
190	1752.406	453.9272	845.9504	3563.891	1040.878	1116.048	1223.531	1359.919	1474.338	1577.021	1692.867	1811.653	1950.139	2086.22	2368.579	2613.003	2772.813
191	1816.17	467.081	833.2059	3827.06	1040.082	1175.151	1273.571	1401.191	1522.936	1637.997	1752.605	1882.267	2027.95	2197.688	2417.985	2668.896	2828.626
192	1774.457	481.2315	738.3793	4565.933	1035.708	1129.709	1225.998	1345.097	1472.144	1589.684	1728.813	1831.657	1965.568	2135.289	2433.178	2655.264	2794.292
193	1808.064	493.0535	879.5635	3663.397	1028.038	1123.668	1233.996	1378.165	1505.134	1617.845	1742.322	1853.745	1989.474	2213.692	2511.403	2760.834	2898.492
194	1810.983	485.7013	806.3318	4470.004	1020.44	1124.274	1257.542	1387.365	1521.225	1649.443	1758.533	1856.495	2006.034	2202.259	2410.618	2672.745	2814.08
195	1860.208	479.2528	842.4292	3592.986	1079.329	1181.227	1287.329	1436.364	1546.584	1671.408	1815.9	1936.836	2069.7	2256.11	2507.781	2755.137	2882.709
196	1864.836	508.8524	807.659	3736.881	1032.562	1140.95	1250.615	1425.582	1566.928	1669.024	1792.853	1935.033	2089.041	2283.696	2527.976	2781.561	2978.359
197	1885.11	498.967	836.5357	3937.102	1033.831	1163.853	1309.508	1458.172	1590.241	1703.795	1816.93	1945.888	2089.384	2268.999	2566.804	2846.793	2969.801
198	1896.026	527.0315	894.6664	4328.819	1089.043	1180.951	1285.127	1443.476	1568.034	1712.85	1821.559	1951.142	2094.827	2274.099	2609.084	2861.252	3036.647
199	1849.145	488.7522	806.3535	3890.889	1060.699	1162.237	1279.133	1429.359	1552.476	1670.466	1787.86	1917.375	2054.681	2218.567	2518.584	2782.664	2930.126
200	1893.057	509.1349	833.8399	3805.243	1073.671	1177.685	1280.99	1456.321	1568.283	1693.491	1828.345	1955.152	2100.416	2317.057	2565.661	2852.065	2984.946
201	1907.754	523.5733	859.3311	4226.522	1086.235	1199.302	1301.196	1461.877	1581.851	1706.487	1844.354	1969.9	2115.287	2304.392	2607.025	2884.87	3072.635
202	1930.186	507.8517	899.3403	4558.497	1099.901	1231.122	1341.858	1497.934	1633.35	1756.582	1861.619	1979.454	2127.183	2323.653	2599.662	2866.091	2979.765
203	1963.798	529.6697	878.4947	3857.065	1118.161	1224.636	1344.24	1502.408	1630.273	1748.06	1879.417	2039.802	2219.322	2401.671	2691.395	2908.081	3175.185
204	1974.505	534.1148	952.2867	4293.249	1141.136	1217.074	1348.356	1514.564	1645.665	1783.918	1910.551	2044.396	2182.224	2384.483	2680.484	2969.107	3179.396
205	1978.542	536.9405	1030.679	4037.209	1134.052	1246.83	1362.245	1508.92	1634.098	1774.388	1904.865	2030.659	2200.469	2391.314	2692.804	3051.749	3240.647
206	1973.725	530.4412	727.976	4434.698	1102.714	1232.452	1354.499	1533.357	1662.307	1768.833	1878.137	2031.608	2217.716	2391.269	2716.605	2911.163	3098.324
207	2024.938	551.0579	852.9994	4366.084	1152.703	1268.752	1381.26	1542.361	1687.093	1801.642	1957.986	2111.303	2253.532	2433.57	2705.246	3074.539	3305.742
208	1999.642	528.8526	872.9169	4423.592	1125.603	1263.942	1385.839	1529.855	1674.782	1798.491	1927.231	2073.39	2222.604	2443.343	2719.85	2932.563	3069.445
209	2060.858	565.8997	858.674	4938.727	1207.04	1290.142	1413.976	1583.731	1732.38	1836.023	1952.66	2099.892	2294.217	2503.564	2818.842	3105.179	3290.401
210	2050.867	546.1732	875.9926	4231.009	1184.611	1306.632	1416.007	1596.897	1726.098	1849.942	1968.51	2086.253	2257.906	2465.329	2795.306	3049.928	3244.198
211	2055.284	578.2394	835.7559	5116.292	1193.753	1295.368	1414.568	1567.95	1701.384	1843.434	1974.769	2101.957	2253.934	2455.271	2794.413	3139.189	3305.181
212	2053.169	533.4924	939.3945	4027.936	1177.576	1339.307	1440.206	1582.077	1732.775	1870.228	1974.726	2122.612	2246.053	2456.545	2796.547	3088.369	3256.907
213	2124.705	576.7785	918.6093	4369.73	1183.56	1353.477	1467.33	1631.298	1767.332	1883.198	2031.68	2188.338	2377.475	2597.643	2915.345	3182.472	3343.777
214	2109.241	559.0448	864.8665	4835.68	1234.37	1323.205	1446.955	1628.679	1770.228	1904.834	2043.226	2190.605	2346.511	2527.628	2836.747	3125.727	3307.235
215	2125.927	590.6546	894.5328	5407.508	1210.611	1322.895	1447.379	1627.944	1764.711	1905.742	2036.066	2162.87	2359.822	2572.56	2939.21	3181.785	3336.365
216	2148.961	603.1718	1042.55	6091.511	1209.189	1335.337	1468.441	1632.394	1773.441	1916.116	2043.2	2195	2390.682	2635.142	2959.24	3252.382	3471.349
217	2106.702	550.5542	1029.538	4078.848	1232.41	1346.435	1445.234	1629.87	1752.093	1884.724	2029.591	2192.814	2337.32	2559.049	2892.802	3165.579	3310.657
218	2175.415	614.0323	917.4715	4780.975	1253.387	1369.456	1501.189	1662.024	1792.811	1940.639	2072.317	2225.083	2389.145	2634.232	2976.465	3347.345	3629.72
219	2200.111	600.7219	977.4416	4968.681	1261.282	1374.414	1509.431	1689.274	1838.692	1993.656	2120.986	2237.774	2416.408	2651.983	3028.088	3357.648	3514.005
220	2236.216	623.208	1009.721	4506.059	1211.594	1380.609	1510.369	1706.608	1859	1990.213	2143.449	2317.558	2487.557	2723.134	3063.16	3418.424	3658.167
221	2215.357	587.2008	991.814	4372.067	1278.51	1374.138	1533.226	1710.335	1864.237	2007.686	2133.352	2279.9	2439.35	2672.701	2995.098	3304.939	3506.157
222	2254.929	629.1455	838.2523	5252.181	1258.676	1411.075	1540.848	1748.109	1892.268	2021.913	2148.343	2310.29	2490.65	2713.578	3083.802	3406.838	3669.622
223	2227.62	598.3215	1045.179	4908.253	1291.063	1381.609	1528.279	1707.503	1842.369	2006.37	2147.543	2308.021	2465.45	2692.099	3042.008	3371.537	3529.282
224	2270.126	643.9247	868.205	5038.09	1286.61	1397.136	1521.759	1737.779	1873.584	1996.308	2157.915	2314.366	2537.47	2773.836	3162.352	3437.508	3658.488
225	2304.347	604.9616	913.2272	4596.729	1244.565	1409.445	1595.223	1768.822	1946.927	2093.531	2241.327	2383.076	2584.481	2790.577	3146.275	3432.93	3561.813
226	2293.96	607.1959	1061.198	5251.781	1349.936	1450.55	1574.981	1767.615	1910.619	2045.83	2210.733	2383.423	2550.029	2798.204	3129.404	3411.165	3563.836
227	2302.465	623.0705	1029.382	5964.514	1319.918	1453.639	1594.397	1760.149	1929.434	2071.858	2221.18	2361.894	2529.06	2767.991	3165.892	3441.993	3637.71
228	2350.836	632.1384	1016.478	5177.67	1347.127	1487.026	1620.997	1801.409	1965.736	2111.257	2280.468	2421.723	2616.133	2851.488	3155.71	3453.832	3662.931
229	2342.066	642.3488	1089.647	5006.191	1346.948	1457.486	1591.231	1792.932	1946.744	2113.062	2244.48	2415.43	2586.682	2831.718	3202.417	3496.006	3721.567
230	2349.518	637.8034	1038.455	5317.716	1345.458	1456.033	1612.091	1809.884	1956.542	2096.043	2268.727	2417.49	2619.109	2882.413	3173.064	3481.954	3700.78
231	2346.114	619.095	1089.635	4710.326	1346.204	1447.242	1608.155	1828.141	1977.843	2119.37	2282.206	2433.185	2611.744	2807.141	3188.019	3488.891	3716.266
232	2388.773	611.583	1168.386	5246.633	1457.574	1560.95	1668.53	1874.4	2035.337	2172.681	2284.911	2448.498	2628.566	2845.475	3199.847	3517.084	3693.925
233	2419.084	673.7375	1057.536	6004.204	1322.387	1465.628	1629.707	1850.26	2023.918	2184.149	2335.987	2501.149	2683.235	2885.685	3308.682	3573.812	3929.933
234	2374.542	627.5485	1116.619	5273.494	1364.117	1503.714	1644.998	1799.75	1984.377	2137.103	2305.851	2483.258	2643.636	2892.104	3201.057	3466.178	3743.176
235	2444.877	663.2715	1108.684	4942.315	1374.205	1527.038	1671.641	1886.674	2049.427	2199.891	2349.367	2518.843	2704.049	2966.296	3343.178	3706.192	3937.288
236	2441.895	672.6714	1067.763	5764.711	1363.583	1540.778	1652.696	1869.758	2038.703	2190.907	2338.375	2504.904	2711.9	2969.926	3325.872	3698.574	3941.622
237	2465.719	672.2124	1023.553	4763.891	1414.345	1528.91	1664.865	1846.154	2038.96	2220.611	2366.481	2546.42	2757.044	3039.961	3393.916	3733.485	3906.998
238	2449.367	692.6502	1179.154	5445.389	1368.57	1512.9	1647.161	1856.957	2042.535	2186.731	2339.09	2499.71	2718.483	2993.922	3399.531	3773.927	4016.137
239	2512.891	709.9379	1022.704	5965.011	1352.891	1513.962	1693.501	1904.013	2071.651	2272.03	2418.6	2594.141	2816.278	3045.485	3480.088	3794.746	4072.285
240	2526.236	684.901	1159.748	5184.654	1394.972	1553.205	1742.342	1914.991	2112.723	2273.586	2443.658	2610.26	2817.296	3084.851	3405.979	3752.037	4097.791
241	2491.474	648.6104	1070.877	5297.517	1394.795	1562.602	1713.736	1940.541	2113.336	2268.263	2424.14	2594.785	2749.952	2952.419	3354.599	3721.599	3914.354
242	2578.57	704.1139	1066.167	5505.03	1496.569	1645.982	1769.572	1967.297	2154.433	2299.486	2446.712	2641.96	2846.707	3139.842	3491.376	3861.701	4191.722
243	2564.619	686.259	1230.12	5690.915	1455.747	1657.708	1805.609	1984.89	2134.808	2277.866	2446.164	2655.922	2824.139	3086.566	3458.301	3847.816	4097.974
244	2567.354	691.9305	937.4785	5566.795	1477.055	1653.817	1790.599	1966.263	2133.905	2308.496	2457.001	2631.205	2834.151	3100.8	3517.701	3843.3	4114.253
245	2620.289	734.4464	1154.299	6377.21	1483.263	1615.39	1781.975	2014.56	2188.519	2337.117	2509.673	2679.588	2889.975	3171.233	3624.969	3954.186	4187.187
246	2594.656	698.1662	1110.157	5473.855	1478.303	1617.757	1771.93	1991.993	2159.357	2351.332	2507.317	2663.802	2853.497	3137.193	3520.359	3899.123	4203.534
247	2620.842	707.8155	1161.273	6408.59	1488.639	1678.114	1798.192	2016.98	2203.283	2354.026	2514.503	2680.673	2868.232	3152.637	3557.841	3979.018	4236.663
248	2659.201	713.1631	1231.206	5575.203	1516.33	1709.339	1831.586	2020.678	2201.317	2379.74	2562.099	2777.556	2977.212	3241.767	3616.843	3966.961	4232.877
249	2697.901	746.7308	1267.015	6072.681	1505.426	1648.007	1821.981	2071.818	2245.895	2427.308	2606.523	2784.403	2981.398	3282.497	3697.871	4069.044	4296.433
250	2667.541	735.0323	1122.219	5578.208	1521.646	1702.355	1853.655	2037.201	2220.131	2374.381	2557.396	2717.638	2919.244	3225.37	3649.375	4089.338	4361.11
251	2656.275	714.5137	1225.327	5482.715	1514.299	1667.268	1847.371	2049.244	2199.244	2372.824	2568.803	2749.48	2948.41	3187.726	3609.537	3959.606	4234.505
252	2730.963	767.2078	1268.281	6674.699	1540.534	1686.613	1807.506	2024.203	2230.472	2447.783	2657.23	2861.99	3090.056	3327.317	3702.537	4099.846	4405.628
253	2720.426	741.307	1206.175	6127.349	1510.821	1721.891	1842.718	2062.548	2268.383	2454.876	2630.83	2804.36	3032.512	3299.67	3758.844	3985.565	4290.452
254	2721.261	730.9036	1128.391	6373.569	1531.741	1690.654	1880.613	2075.815	2284.623	2455.028	2652.143	2810.837	3021.822	3301.009	3703.915	4045.798	4297.346
255	2776.121	771.361	1328.484	6292.503	1539.369	1704.084	1872.021	2115.832	2300.739	2467.615	2674.09	2863.431	3112.623	3404.242	3780.294	4174.708	4412.834
256	2758.136	726.0884	1267.279	6109.949	1561.395	1717.54	1904.221	2137.548	2321.465	2488.957	2651.974	2858.299	3078.174	3337.165	3754.091	4066.385	4297.317
257	2774.108	750.2852	1308.552	6110.29	1536.111	1744.419	1894.113	2119.121	2309.171	2484.726	2687.756	2878.427	3095.968	3368.575	3794.886	4164.421	4458.452
258	2806.563	772.6502	1033.393	6143.024	1612.834	1760.085	1924.503	2154.005	2325.785	2518.614	2683.831	2888.583	3099.01	3403.488	3881.536	4196.282	4559.99
259	2826.279	709.8487	1221.743	5950.764	1724.578	1867.815	2000.471	2200.93	2402.348	2568.738	2727.18	2894.837	3126.9	3373.856	3779.064	4093.877	4343.244
260	2849.077	805.9918	1280.793	6397.577	1608.401	1784.419	1931.553	2162.825	2354.948	2522.684	2746.032	2943.219	3139.299	3416.685	3894.505	4392.912	4706.706
261	2834.03	775.2318	1225.632	6684.323	1608.73	1742.582	1938.264	2161.822	2395.745	2549.812	2700.778	2925.765	3166.974	3423.495	3907.005	4310.814	4552.615
262	2870.859	778.1765	1127.8	6745.738	1604.617	1788.312	1946.689	2223.575	2380.871	2574.269	2784.761	2979.523	3223.058	3495.843	3923.904	4269.293	4418.782
263	2895.515	817.8574	1241.28	7495.709	1622.666	1774.071	1937.393	2208.074	2419.396	2597.533	2771.177	2978.015	3201.035	3522.492	3965.006	4393.044	4740.64
264	2907.149	779.8547	1369.838	6015.798	1674.874	1841.613	1987.868	2237.92	2434.832	2595.377	2797.432	3009.757	3221.481	3515.418	3930.483	4406.976	4667.145
265	2938.742	817.0689	1353.699	7011.403	1662.506	1805.362	2009.219	2274.441	2483.872	2653.119	2815.764	2997.189	3239.971	3526.131	4063.485	4434.811	4774.596
266	2908.69	764.7319	1383.999	6059.803	1661.156	1854.768	2035.397	2254.44	2456.758	2644.609	2812.151	2993.475	3203.617	3487.458	3880.243	4342.829	4681.723
267	2937.775	784.9437	1263.494	6157.508	1658.287	1838.903	1995.59	2234.5	2449.544	2652.055	2841.808	3026.178	3281.142	3545.679	4026.258	4365.654	4646.233
268	3008.773	803.9647	1349.388	6082.377	1687.569	1883.359	2061.069	2317.138	2517.06	2727.358	2892.536	3121.552	3337.276	3603.735	4140.024	4546.485	4821.993
269	3015.735	826.3209	1332.178	6415.219	1673.038	1863.705	2044.137	2298.527	2523.092	2714.07	2911.844	3093.947	3372.088	3648.719	4168.15	4537.361	4744.644
270	3006.767	830.004	1301.381	6908.628	1693.109	1819.899	2035.43	2306.146	2508.575	2721.477	2907.424	3107.514	3325.247	3626.148	4136.856	4571.955	4781.58
271	3068.355	833.8838	1470.014	7265.536	1835.204	1943.442	2123.955	2353.282	2543.791	2723.923	2932.188	3162.83	3405.406	3733.489	4178.64	4650.576	4924.376
272	2996.674	824.9376	1222.903	7470.832	1751.014	1917.618	2076.248	2300.664	2474.852	2692.036	2846.012	3066.633	3312.99	3598.945	4148.105	4570.61	4851.184
273	3056.706	829.8408	1348.25	7258.604	1727.341	1903.912	2091.112	2349.085	2550.627	2756.93	2936.664	3140.978	3377.518	3668.067	4187.479	4577.802	4913.897
274	3077.215	854.1743	1294.545	7726.842	1758.398	1957.803	2099.457	2327.289	2565.029	2763.317	2962.381	3200.971	3425.45	3734.868	4142.02	4561.904	4866.662
275	3115.165	872.2403	1385.531	6962.186	1793.918	1968.763	2148.228	2385.843	2592.456	2771.62	2963.188	3174.401	3448.437	3735.911	4316.728	4825.505	5150.197
276	3125.831	890.5273	1354.446	6476.551	1754.849	1924.383	2093.185	2377.409	2540.924	2759.182	2990.776	3230.878	3486.084	3821.757	4357.458	4773.037	5132.77
277	3127.257	868.758	1409.32	6743.983	1721.806	1915.208	2105.162	2350.212	2608.316	2809.726	2999.482	3229.589	3515.339	3825.608	4303.081	4761.858	5089.165
278	3151.214	869.2272	1201.55	6752.62	1780.745	1952.952	2156.898	2410.928	2640.724	2838.613	3021.286	3239.769	3490.856	3795.341	4347.752	4723.005	4954.274
279	3202.587	876.489	1221.852	7385.056	1818.057	1986.121	2160.579	2479.354	2714.137	2888.345	3092.944	3291.839	3548.289	3827.054	4316.784	4891.852	5316.066
280	3202.28	920.2883	1561.512	7894.91	1774.606	1968.696	2171.147	2417.336	2656.368	2845.258	3044.874	3275.807	3583.353	3903.986	4458.074	4907.588	5247.263
281	3181.539	850.2645	1494.524	7388.641	1850.558	2003.741	2183.139	2430.049	2642.982	2854.433	3070.545	3283.237	3568.277	3875.965	4280.794	4687.708	4953.281
282	3208.126	901.7539	1246.608	7870.837	1838.949	1995.074	2177.109	2468.461	2644.824	2863.836	3094.159	3328.146	3586.948	3886.676	4401.19	4841.056	5144.048
283	3229.411	878.9283	1413.502	7022.672	1836.438	2032.834	2204.024	2471.065	2687.763	2885.636	3099.567	3330.633	3608.429	3914.458	4349.536	4903.239	5311.236
284	3268.321	885.3743	1408.99	7324.267	1860.696	2062.617	2216.165	2506.947	2723.699	2944.43	3167.874	3386.232	3634.97	3946.823	4459.939	4940.196	5194.456
285	3276.537	888.2699	1271.664	6713.206	1879.825	2088.045	2262.472	2526.691	2732.62	2920.367	3127.32	3348.588	3586.821	4008.627	4531.902	4854.027	5236.666
286	3340.005	944.7655	1416.533	7208.919	1863.87	2029.155	2227.039	2536.235	2767.505	2995.885	3204.452	3463.774	3694.393	4022.126	4692.189	5051.596	5361.21
287	3274.004	867.8239	1504.676	8178.162	1832.166	2083.266	2302.737	2522.904	2735.738	2927.585	3147.214	3372.025	3665.488	3954.01	4382.22	4866.863	5109.072
288	3311.778	898.248	1527.291	7114.944	1881.019	2104.083	2261.603	2543.28	2787.456	2972.437	3156.678	3426.464	3655.756	3984.087	4530.824	4944.728	5271.061
289	3330.042	925.5519	1482.931	7027.472	1862.545	2038.301	2218.431	2531.398	2782.781	2992.413	3214.934	3425.064	3698.581	4056.362	4630.733	5058.141	5352.3
290	3332.325	915.5445	1225.645	7262.606	1914.739	2072.595	2249.217	2519.593	2794.751	2990.23	3218.064	3435.704	3721.416	4035.887	4528.051	5034.628	5327.725
291	3454.706	930.3649	1681.881	6936.36	1905.293	2188.427	2357.117	2668.154	2896.459	3101.828	3327.852	3522.306	3829.354	4205.376	4679.248	5233.49	5587.895
292	3379.681	969.1228	1331.85	7550.742	1818.052	2062.617	2243.355	2487.887	2789.149	3014.312	3248.5	3515.53	3822.16	4151.981	4730.671	5118.389	5362.544
293	3390.52	915.4637	1574.826	7313.943	1864.359	2115.406	2312.705	2623.559	2830.187	3075.35	3276.661	3501.142	3753.101	4113.554	4529.84	5116.374	5515.104
294	3402.282	900.9185	1559.408	7211.471	1862.61	2107.274	2336.88	2649.229	2879.069	3117.916	3276.059	3509.551	3765.09	4104.801	4607.615	5047.295	5359.9
295	3429.795	980.2227	1517.917	8841.663	1908.694	2094.28	2274.542	2587.799	2803.225	3099.318	3310.679	3545.665	3825.715	4189.62	4702.211	5116.714	5378.585
296	3423.846	973.3418	1516.681	7368.954	1923.419	2131.216	2297.972	2615.413	2826.884	3022.946	3238.694	3489.978	3787.332	4198.858	4704.737	5361.415	5565.617
297	3468.96	966.153	1298.471	7721.488	1955.868	2187.869	2399.45	2621.527	2873.105	3089.575	3333.315	3558.343	3863.573	4212.106	4746.621	5285.361	5590.687
298	3498.207	952.5934	1590.899	8344.319	1971.849	2140.065	2313.256	2668.814	2912.999	3154.604	3401.24	3646.555	3934.642	4235.617	4736.923	5229.48	5584.655
299	3528.443	1007.706	1632.736	9312.429	1965.405	2139.314	2327.062	2676.879	2914.487	3146.566	3378.924	3626.901	3914.986	4302.434	4933.922	5423.495	5757.569
300	3564.784	966.5836	1325.793	7500.353	2074.329	2231.524	2438.436	2726.515	2962.695	3214.353	3423.257	3675.199	3995.863	4345.123	4871.333	5383.301	5734.88
301	3588.273	968.3795	1588.82	7221.635	2044.328	2211.528	2392.827	2725.122	2983.595	3235.454	3497.922	3710.645	4039.305	4354.257	4886.227	5264.152	5700.467
302	3586.547	1005.319	1430.205	8644.665	1989.768	2192.621	2409.552	2751.619	2988.759	3216.195	3447.342	3696.07	4014.489	4329.007	4923.905	5458.887	5694.361
303	3611.591	1012.725	1595.404	7653.958	1964.626	2198.341	2428.482	2745.739	2999.11	3229.299	3485.464	3735.425	3985.177	4392.483	5018.056	5496.098	5894.96
304	3653.146	1025.779	1447.998	7694.226	1975.06	2247.11	2508.618	2789.948	3082.987	3277.73	3474.226	3722.052	4009.651	4371.874	5041.492	5556.455	6013.709
305	3659.123	1035.425	1708.669	8002.249	2088.879	2250.455	2480.485	2747.548	3000.613	3234.817	3516.094	3785.125	4049.818	4466.132	5118.843	5583.94	5815.182
306	3636.37	999.5775	1753.763	8618.59	2061.041	2276.514	2500.664	2783.291	3030.017	3254.264	3474.929	3738.991	4014.383	4424.554	4994.936	5521.364	5793.87
307	3690.128	1019.402	1357.604	8210.792	2032.754	2250.881	2500.32	2835.789	3053.585	3312.271	3551.945	3797.101	4134.559	4466.854	5073.573	5581.749	5943.397
308	3651.492	1042.768	1643.987	8376.937	2037.034	2229.335	2446.065	2752.587	3000.094	3252.322	3514.885	3737.572	4004.364	4458.042	5173.819	5656.866	5992.533
309	3651.55	1003.628	1485.098	8305.873	2057.151	2247.934	2486.271	2764.201	3062.076	3294.663	3506.091	3747.837	4033.707	4414.329	5058.685	5451.398	5784.771
310	3719.258	1028.258	1750.858	8837.46	2069.941	2306.237	2548.103	2864.975	3093.126	3321.199	3568.977	3842.778	4142.869	4504.218	5111.167	5679.768	6037.045
311	3741.304	1032.529	1742.452	8357.479	2152.455	2380.422	2541.661	2857.834	3080.669	3341.152	3562.345	3832.642	4160.578	4565.97	5121.57	5633.986	5974.9
312	3783.337	1051.991	1568.388	8711.096	2110.866	2300.206	2559.983	2863.832	3123.078	3398.492	3663.074	3924.412	4241.494	4594.26	5138.517	5671.618	6120.351
313	3812.039	1025.418	1671.111	8200.738	2156.923	2392.441	2598.216	2886.822	3190.581	3418.266	3665.872	3967.961	4309.125	4658.383	5109.589	5614.431	5946.05
314	3831.326	1094.384	1799.015	8321.434	2119.864	2336.482	2571.695	2878.832	3131.717	3388.039	3688.507	3947.995	4309.232	4698.826	5300.689	5786.416	6158.913
315	3796.448	1025.212	1694.601	9150.415	2289.392	2443.961	2632.439	2920.233	3183.546	3422.172	3656.623	3901.509	4174.425	4514.816	5113.474	5710.807	6143.97
316	3798.357	1046.522	1721.696	8051.492	2100.362	2324.157	2578.753	2896.17	3143.165	3440.247	3672.345	3929.69	4219.232	4629.971	5191.242	5761.674	6048.776
317	3795.623	1068.964	1827.763	9107.621	2150.001	2416.534	2610.648	2864.128	3136.094	3375.034	3631.773	3857.267	4162.286	4598.163	5233.637	5897.965	6290.653
318	3877.527	1134.232	1482.891	8773.949	2059.538	2320.986	2558.374	2922.371	3175.438	3434.043	3736.61	4007.42	4307.547	4802.479	5424.317	6081.409	6353.745
319	3882.793	1037.662	1835.296	8447.851	2141.012	2447.504	2688.772	2986.454	3259.411	3513.043	3752.021	4012.965	4315.212	4706.797	5269.243	5699.128	6239.427
320	3871.335	1054.713	1596.87	10046.96	2208.627	2436.568	2666.52	2949.526	3196.203	3466.328	3743.554	4031.471	4363.842	4741.011	5254.883	5666.823	6036.739
321	3961.317	1111.394	1623.638	8878.588	2183.96	2437.335	2694.734	2974.821	3284.622	3544.45	3824.744	4085.043	4416.273	4853.732	5387.948	5979.305	6239.173
