n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
40	159.2006	38.62888	83.1324	301.6538	97.1442	106.3438	114.2716	125.6503	135.9522	145.6915	154.159	164.0518	174.6454	187.2111	209.6426	231.7693	249.0261
41	165.3164	39.85041	82.553	317.5531	101.0346	107.6801	117.9237	132.5896	140.6272	150.559	159.565	170.6458	181.6563	197.0685	220.4269	239.6247	255.1117
42	174.0831	39.7918	87.5157	323.3667	105.2996	116.9915	125.9286	140.3887	149.9433	160.0906	169.1981	178.8295	191.4941	206.8212	227.5148	250.2279	259.8442
43	178.2997	41.95906	91.2195	342.2075	108.8301	117.1537	126.7162	141.0886	153.5969	164.5631	173.0202	183.9375	198.5925	212.4571	232.3424	254.5388	268.9684
44	183.6809	44.61921	89.3812	364.6313	107.7311	118.0889	131.2402	145.7464	156.6684	166.8742	178.6505	191.7029	202.3116	220.6898	244.0328	261.2929	275.6538
45	189.2143	43.36744	90.5759	373.3202	115.5422	124.5673	137.6989	151.5256	163.5726	173.4906	184.9892	196.3899	208.7295	225.251	247.2489	266.6702	279.9429
46	199.8078	48.67019	87.8237	414.6046	115.6676	131.5485	141.8238	155.7979	169.6644	183.2839	196.3568	206.9082	221.61	241.845	263.6797	286.7351	299.4295
47	204.311	49.81642	90.4599	469.0416	123.6366	131.2479	145.1	161.0279	174.9143	186.4859	199.4141	211.9151	226.4266	243.1666	268.1902	295.1186	312.8003
48	211.8768	51.02759	105.404	431.6839	135.1851	143.0839	153.2384	165.8734	178.6113	191.9297	204.049	217.9449	234.3075	251.0438	282.2215	308.6924	325.5856
49	216.8081	53.1169	115.8577	453.0607	130.6331	142.972	155.7241	171.6392	183.4503	195.0026	208.751	224.7576	240.2207	260.7854	288.0226	317.0662	333.4097
50	226.6041	54.83499	115.5682	478.8069	135.9228	150.8377	163.1748	180.0667	193.4089	206.3323	219.1757	234.0577	250.2898	270.0093	296.0355	326.4966	344.4009
51	233.9107	54.58387	111.1261	431.5449	139.4848	153.7043	164.7362	186.282	200.8631	216.1689	228.7444	242.3097	257.6063	279.0538	306.5159	332.3763	348.1839
52	236.0034	56.22917	126.222	438.6297	145.3719	156.8056	167.0479	186.0618	201.839	214.3409	228.6373	243.4543	259.9173	283.8486	313.5953	338.4612	354.446
53	247.66	61.51543	120.0292	549.6171	149.4189	163.3677	177.5922	196.0281	211.3078	224.1428	239.1715	256.283	270.8874	290.7955	329.7666	365.0836	385.3544
54	252.8215	62.34007	122.7925	486.548	150.0267	165.1636	179.9166	199.5269	211.4781	228.4097	246.0975	264.4598	281.7765	302.8217	336.067	365.7991	386.5475
55	262.9383	64.10935	120.1124	512.0752	152.2925	171.0292	185.7041	206.262	224.5818	241.1514	257.1517	271.2232	290.6974	315.4616	346.7622	374.988	397.4506
56	269.5732	64.81863	138.3582	532.7194	158.9182	177.2343	191.455	211.9575	228.7597	245.7132	262.8726	281.0267	298.6369	320.6665	354.5885	383.458	402.4214
57	278.741	67.72889	141.0248	547.3655	167.714	182.628	195.9872	217.0645	235.5653	254.4248	270.9077	290.2327	310.411	333.699	371.2465	398.9499	416.006
58	280.6319	69.38118	128.0195	643.4812	164.8878	182.5623	196.84	218.5635	239.5579	255.6541	272.8754	293.1791	311.5526	336.8902	367.8369	397.7462	430.1256
59	289.316	70.14873	137.728	615.3722	177.5359	191.5568	208.3075	227.8969	244.0697	262.49	278.1564	300.5611	322.2546	346.3149	381.9201	418.0419	443.414
60	298.1766	68.60275	147.7464	573.342	183.333	201.1318	216.1273	237.9895	254.8568	272.9212	289.9914	306.9381	328.489	355.1014	393.8007	417.3176	429.665
61	308.8438	78.60867	135.4843	669.576	181.2043	197.8585	217.1405	239.9271	260.0865	278.4026	298.7942	318.8683	343.6757	377.6824	414.6746	444.7752	468.3023
62	314.4085	80.89065	145.7841	697.7234	187.6673	202.6771	218.8036	242.2643	263.5811	285.2332	304.3353	327.4111	351.3275	377.346	417.3907	454.1894	483.0549
63	322.9552	81.40755	161.2079	648.2993	195.2742	211.8773	231.5815	253.4502	271.3927	288.8339	309.2814	331.3352	356.6483	386.7984	433.517	480.049	507.5264
64	333.8209	82.97051	153.4405	791.0664	196.4536	215.395	239.3199	265.8872	284.8368	301.0864	322.6748	343.9026	368.1304	395.4643	444.1149	481.3865	508.5902
65	339.9964	82.59905	175.6445	684.6276	206.7317	223.0224	243.3454	268.9256	289.427	309.9113	329.5072	348.5613	376.501	401.6864	450.9235	496.1028	527.3234
66	350.9061	87.55303	186.1048	716.3023	219.6793	233.5016	250.8884	276.8104	298.1694	315.0159	336.0461	355.7246	386.4867	421.5199	470.3775	511.4362	540.4369
67	356.3648	89.77728	156.6493	673.3372	218.7327	235.735	251.6664	276.5918	297.8506	321.2273	340.9927	367.0913	399.2819	429.2016	474.9968	529.7896	558.3879
68	362.7904	93.76168	181.1877	807.4113	210.5232	232.1551	255.2861	281.2774	306.1258	329.4253	351.3702	373.0751	400.3473	436.7391	485.7798	527.9972	560.7861
69	372.9672	96.20354	166.343	760.1467	216.6449	235.8665	262.0515	288.092	313.5411	338.6001	361.1399	387.2015	414.4671	447.0794	500.3719	549.2905	590.2915
70	375.0449	92.54073	179.0279	794.1505	222.1621	243.2447	266.9045	297.3247	318.7021	339.641	363.1914	384.194	412.4658	446.6643	501.8904	540.8327	577.8296
